Technischer Schlüssel;Link-ID;Detailnetz-Nr.;VP_von;VP_bis;Von-Station;Bis-Station;Verkehrsrichtung;Verkehrsebene;Straßentyp;StEP-Klasse;OKSTRA-Klasse;RBS-Klasse;Straßenname;Bezirk;Ortsteil;DTVw-2019-Kfz;DTVw-2019-Lkw
5371;28440007_29440013;28440007_29440013.01;28440007,00;29440013,00;0,00;170,00;B;0,00;S;II;B;STRA;Königstraße;Steglitz-Zehlendorf;Wannsee;14900,00;290,00
5372;44530064_44530062;44530064_44530062.01;44530064,00;44530062,00;0,00;96,00;G;0,00;S;II;B;STRA;Reichpietschufer;Friedrichshain-Kreuzberg;Kreuzberg;26500,00;530,00
5373;T0002180_43600017;43600023_43600017.01;43600023,00;43600017,00;120,00;213,00;B;0,00;S;II;B;STRA;Residenzstraße;Reinickendorf;Reinickendorf;33400,00;1940,00
5374;36650014_36650029;36650014_36650029.01;36650014,00;36650029,00;0,00;83,00;B;0,00;S;III;G;STRA;Schulzendorfer Straße;Reinickendorf;Heiligensee;7500,00;130,00
5375;47460015_47460027;47460015_47460027.02;47460015,00;47460027,00;0,00;85,00;B;0,00;S;II;G;STRA;Mohriner Allee;Neukölln;Britz;14900,00;300,00
5376;44570018_44570016;44570018_44570016.01;44570018,00;44570016,00;0,00;129,00;B;0,00;S;II;B;STRA;Reinickendorfer Straße;Mitte;Wedding;22900,00;570,00
5377;49500020_49500002;49500020_49500002.01;49500020,00;49500002,00;0,00;34,00;B;0,00;S;II;G;STRA;Sonnenallee;Neukölln;Neukölln;22700,00;530,00
5378;43660004_T0141120;43660004_43660009.01;43660004,00;43660009,00;0,00;61,00;R;0,00;S;III;G;STRA;Alt-Lübars;Reinickendorf;Lübars;2300,00;40,00
5379;T0013370_36470018;36470017_36470018.01;36470017,00;36470018,00;129,00;220,00;B;0,00;S;II;G;STRA;Argentinische Allee;Steglitz-Zehlendorf;Zehlendorf;16400,00;300,00
5380;37510016_37510034;37510016_37510034.02;37510016,00;37510034,00;0,00;104,00;B;0,00;S;III;G;STRA;Koenigsallee;Charlottenburg-Wilmersdorf;Grunewald;9500,00;130,00
5381;47590012_47590013;47590012_47590013.01;47590012,00;47590013,00;0,00;68,00;B;0,00;S;II;G;STRA;Berliner Straße;Pankow;Pankow;10700,00;410,00
5382;32460014_33470002;32460014_33470002.01;32460014,00;33470002,00;0,00;1697,00;R;0,00;A;I;A;AUBA;A 115 BAB Autobahnzubringer Magdebg/Leipz (Avus);Steglitz-Zehlendorf;Nikolassee;41400,00;3450,00
5383;33580048_33580053;33580048_33580053.01;33580048,00;33580053,00;0,00;131,00;B;0,00;S;II;G;STRA;Neuendorfer Straße;Spandau;Hakenfelde;17800,00;470,00
5384;42620041_42620042;42620041_42620042.01;42620041,00;42620042,00;0,00;151,00;B;0,00;S;II;B;STRA;Roedernallee;Reinickendorf;Wittenau;28700,00;820,00
5385;39620035_39620027;39620035_39620027.01;39620035,00;39620027,00;0,00;69,00;B;0,00;S;IV;G;STRA;Conradstraße;Reinickendorf;Wittenau;6100,00;90,00
5386;46430012_46430013;46430012_46430013.01;46430012,00;46430013,00;0,00;52,00;B;0,00;S;II;G;STRA;Buckower Chaussee;Tempelhof-Schöneberg;Lichtenrade;25000,00;1120,00
5387;51530004_51530033;51530004_51530033.01;51530004,00;51530033,00;0,00;56,00;B;0,00;S;II;G;STRA;Boxhagener Straße;Friedrichshain-Kreuzberg;Friedrichshain;23000,00;620,00
5388;T0034240_42470002;42470001_42470002.01;42470001,00;42470002,00;87,00;168,00;B;0,00;S;III;G;STRA;Albrechtstraße;Steglitz-Zehlendorf;Steglitz;15000,00;330,00
5389;39460017_39460018;39460017_39460018.01;39460017,00;39460018,00;0,00;150,00;B;0,00;S;II;G;STRA;Drakestraße;Steglitz-Zehlendorf;Lichterfelde;21000,00;360,00
5390;41600025_41600039;41600025_41600039.02;41600025,00;41600039,00;0,00;30,00;B;0,00;S;II;G;STRA;Ollenhauerstraße;Reinickendorf;Reinickendorf;21900,00;750,00
5391;T0053410_T0049440;57550036_57560043.01;57550036,00;57560043,00;122,00;245,00;B;0,00;S;II;G;STRA;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;26500,00;710,00
5392;46560037_T0027880;46560037_46560036.02;46560037,00;46560036,00;0,00;54,00;B;0,00;S;IV;G;STRA;Fehrbelliner Straße;Mitte;Mitte;5600,00;80,00
5393;55470005_55470012;55470005_55470012.01;55470005,00;55470012,00;0,00;119,00;B;0,00;S;II;G;STRA;Oberspreestraße;Treptow-Köpenick;Niederschöneweide;11300,00;290,00
5394;36450052_36450023;36450052_36450023.01;36450052,00;36450023,00;0,00;84,00;B;0,00;S;I;B;STRA;Potsdamer Straße;Steglitz-Zehlendorf;Zehlendorf;30100,00;940,00
5395;54560008_54560005;54560008_54560005.01;54560008,00;54560005,00;0,00;179,00;B;0,00;S;II;G;STRA;Landsberger Allee;Marzahn-Hellersdorf;Marzahn;52400,00;1910,00
5396;43520030_T0062020;43520030_43520006.01;43520030,00;43520006,00;0,00;104,00;B;0,00;S;I;B;STRA;Potsdamer Straße;Tempelhof-Schöneberg;Schöneberg;25000,00;690,00
5397;45550002_45550003;45550002_45550003.02;45550002,00;45550003,00;0,00;42,00;B;0,00;S;III;G;STRA;Luisenstraße;Mitte;Mitte;5900,00;160,00
5398;41520005_T0022600;41520005_41530019.01;41520005,00;41530019,00;0,00;192,00;B;0,00;S;IV;G;STRA;Uhlandstraße;Charlottenburg-Wilmersdorf;Charlottenburg;9000,00;110,00
5399;T0325591_50670002;51670005_50670002.01;51670005,00;50670002,00;361,00;1021,00;R;0,00;A;0;A;AUBA;A 10 BAB Berliner Ring;Pankow;Französisch Buchholz;23600,00;3660,00
5400;50450025_T0089160;50450025_51450010.01;50450025,00;51450010,00;0,00;96,00;B;0,00;S;II;G;STRA;Rudower Straße;Neukölln;Buckow;26800,00;580,00
5401;37540004_38540049;37540004_38540049.02;37540004,00;38540049,00;0,00;92,00;B;0,00;S;III;G;STRA;Platanenallee;Charlottenburg-Wilmersdorf;Westend;9200,00;60,00
5402;37510031_37510017;37510031_37510017.01;37510031,00;37510017,00;0,00;101,00;B;0,00;S;III;G;STRA;Koenigsallee;Charlottenburg-Wilmersdorf;Grunewald;11600,00;170,00
5403;39510050_39510027;39510050_39510027.01;39510050,00;39510027,00;0,00;281,00;B;0,00;S;II;G;STRA;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;34000,00;390,00
5404;49580049_49580040;49580049_49580040.01;49580049,00;49580040,00;0,00;65,00;B;0,00;S;IV;G;STRA;Langhansstraße;Pankow;Weißensee;4600,00;110,00
5405;T0024500_41510049;41510020_41510049.01;41510020,00;41510049,00;374,00;579,00;B;-2,00;S;II;G;STRA;Wilmersdorfer Tunnel;Charlottenburg-Wilmersdorf;Wilmersdorf;26700,00;630,00
5406;46420038_46420036;46420038_46420036.01;46420038,00;46420036,00;0,00;61,00;B;0,00;S;II;B;STRA;Lichtenrader Damm;Tempelhof-Schöneberg;Lichtenrade;35900,00;1230,00
5407;T0062050_45520013;45510028_45520013.01;45510028,00;45520013,00;92,00;190,00;B;0,00;S;II;B;STRA;Mehringdamm;Friedrichshain-Kreuzberg;Kreuzberg;42000,00;1350,00
5408;T0015650_T0091280;41500041_41500013.02;41500041,00;41500013,00;371,00;448,00;B;-2,00;S;II;G;STRA;Bundesplatztunnel;Charlottenburg-Wilmersdorf;Wilmersdorf;18100,00;200,00
5409;58470021_58470023;58470021_58470023.01;58470021,00;58470023,00;0,00;186,00;B;0,00;S;II;G;STRA;Friedrichshagener Straße;Treptow-Köpenick;Köpenick;15500,00;470,00
5410;40430022_41420007;40430022_41420007.01;40430022,00;41420007,00;0,00;309,00;B;0,00;S;III;G;STRA;Osdorfer Straße;Steglitz-Zehlendorf;Lichterfelde;10700,00;30,00
5411;44610034_44610026;44610034_44610026.01;44610034,00;44610026,00;0,00;79,00;B;0,00;S;II;G;STRA;Klemkestraße;Reinickendorf;Reinickendorf;7600,00;200,00
5412;41530011_T0090450;41530011_41530027.01;41530011,00;41530027,00;0,00;156,00;B;0,00;S;III;G;STRA;Kantstraße;Charlottenburg-Wilmersdorf;Charlottenburg;18300,00;320,00
5413;50540053_50540044;50540053_50540044.01;50540053,00;50540044,00;0,00;138,00;B;0,00;S;III;G;STRA;Proskauer Straße;Friedrichshain-Kreuzberg;Friedrichshain;10100,00;220,00
5414;41500027_42500004;41500027_42500004.01;41500027,00;42500004,00;0,00;106,00;G;0,00;S;III;G;STRA;Wexstraße;Charlottenburg-Wilmersdorf;Wilmersdorf;12800,00;170,00
5415;37500019_37500020;37500019_37500020.02;37500019,00;37500020,00;0,00;110,00;B;0,00;S;III;G;STRA;Hagenstraße;Charlottenburg-Wilmersdorf;Grunewald;8900,00;130,00
5416;32560011_T0021640;32560011_32570023.01;32560011,00;32570023,00;0,00;61,00;B;0,00;S;IV;G;STRA;Am Bahnhof Spandau;Spandau;Spandau;14200,00;190,00
5417;T0325341_38630041;38630043_38630041.01;38630043,00;38630041,00;218,00;503,00;R;0,00;A;I;A;AUBA;A 111 BAB Autobahnzubringer Hamburg;Reinickendorf;Tegel;29200,00;2860,00
5418;32440030_32440034;32440030_32440034.01;32440030,00;32440034,00;0,00;68,00;R;0,00;A;I;A;AUBA;A 115 BAB Autobahnzubringer Magdebg/Leipz (Avus);Steglitz-Zehlendorf;Nikolassee;6300,00;180,00
5419;49440040_49440035;49440040_49440035.01;49440040,00;49440035,00;0,00;517,00;B;0,00;S;IV;G;STRA;Kölner Damm;Neukölln;Gropiusstadt;9000,00;300,00
5420;48430021_48440024;48430021_48440024.01;48430021,00;48440024,00;0,00;54,00;B;0,00;S;II;G;STRA;Marienfelder Chaussee;Neukölln;Buckow;22500,00;470,00
5421;T0081340_53490010;54480055_53490010.01;54480055,00;53490010,00;133,00;282,00;B;0,00;S;II;G;STRA;Edisonstraße;Treptow-Köpenick;Oberschöneweide;23700,00;1360,00
5422;38470058_38470011;38470058_38470011.01;38470058,00;38470011,00;0,00;180,00;R;0,00;S;IV;G;STRA;Brümmerstraße;Steglitz-Zehlendorf;Dahlem;4500,00;30,00
5423;31580021_31580022;31580021_31580022.01;31580021,00;31580022,00;0,00;106,00;B;0,00;S;II;G;STRA;Falkenseer Chaussee;Spandau;Falkenhagener Feld;25500,00;880,00
5424;44580015_44580016;44580015_44580016.01;44580015,00;44580016,00;0,00;28,00;B;0,00;S;II;B;STRA;Reinickendorfer Straße;Mitte;Wedding;16400,00;580,00
5425;39620060_39610033;39620060_39610033.01;39620060,00;39610033,00;0,00;803,00;R;0,00;A;I;A;AUBA;A 111 BAB Autobahnzubringer Hamburg;Reinickendorf;Tegel;41800,00;2950,00
5426;55450036_55450037;55450036_55450037.01;55450036,00;55450037,00;0,00;68,00;B;0,00;S;II;B;STRA;Adlergestell;Treptow-Köpenick;Adlershof;33800,00;1860,00
5427;T0040740_43460019;42460019_43460019.01;42460019,00;43460019,00;97,00;162,00;B;0,00;S;V;G;STRA;Alt-Lankwitz;Steglitz-Zehlendorf;Lankwitz;9200,00;90,00
5428;40540022_T0013610;40540022_40540010.01;40540022,00;40540010,00;0,00;65,00;B;0,00;S;III;G;STRA;Leibnizstraße;Charlottenburg-Wilmersdorf;Charlottenburg;15500,00;280,00
5429;44430003_44430028;44430003_44430028.01;44430003,00;44430028,00;0,00;200,00;B;0,00;S;III;G;STRA;Säntisstraße;Tempelhof-Schöneberg;Marienfelde;3400,00;60,00
5430;32440025_T0326310;32440025_32440035.03;32440025,00;32440035,00;0,00;144,00;R;-2,00;A;I;A;AUBA;A 115 BAB Autobahnzubringer Magdebg/Leipz (Avus);Steglitz-Zehlendorf;Nikolassee;33100,00;2360,00
5431;49560003_49560004;49560003_49560004.01;49560003,00;49560004,00;0,00;208,00;B;0,00;S;III;G;STRA;Kniprodestraße;Pankow;Prenzlauer Berg;8400,00;210,00
5432;39530030_39530016;39530030_39530016.01;39530030,00;39530016,00;0,00;101,00;B;0,00;S;II;G;STRA;Kantstraße;Charlottenburg-Wilmersdorf;Charlottenburg;23200,00;460,00
5433;42520061_42530050;42520061_42530039.02;42520061,00;42530050,00;0,00;115,00;R;0,00;S;II;G;STRA;Martin-Luther-Straße;Tempelhof-Schöneberg;Schöneberg;32000,00;170,00
5434;44430042_44430003;44430042_44430003.01;44430042,00;44430003,00;0,00;109,00;B;0,00;S;III;G;STRA;Säntisstraße;Tempelhof-Schöneberg;Marienfelde;4300,00;100,00
5435;44590016_44590013;44590016_44590013.01;44590016,00;44590013,00;0,00;77,00;B;0,00;S;II;G;STRA;Schwedenstraße;Mitte;Gesundbrunnen;24000,00;630,00
5436;53520014_53530028;53520014_53530028.01;53520014,00;53530028,00;0,00;202,00;B;0,00;S;III;G;STRA;Volkradstraße;Lichtenberg;Friedrichsfelde;8900,00;160,00
5437;40520041_40520027;40520041_40520027.01;40520041,00;40520027,00;0,00;102,00;B;0,00;S;III;G;STRA;Konstanzer Straße;Charlottenburg-Wilmersdorf;Wilmersdorf;19500,00;240,00
5438;40550016_T0100210;40550016_40550011.02;40550016,00;40550011,00;0,00;75,00;B;0,00;S;III;G;STRA;Caprivibrücke;Charlottenburg-Wilmersdorf;Charlottenburg;14600,00;470,00
5439;T0006820_53580025;53580019_53580025.01;53580019,00;53580025,00;83,00;165,00;B;0,00;S;III;G;STRA;Wartenberger Straße;Lichtenberg;Alt-Hohenschönhausen;22300,00;810,00
5440;51480005_51480006;51480005_51480006.01;51480005,00;51480006,00;0,00;93,00;B;0,00;S;III;G;STRA;Neuköllnische Allee;Neukölln;Neukölln;4800,00;260,00
5441;41510020_T0058940;41510020_41510049.01;41510020,00;41510049,00;0,00;132,00;B;-2,00;S;II;G;STRA;Wilmersdorfer Tunnel;Charlottenburg-Wilmersdorf;Wilmersdorf;26700,00;630,00
5442;46400016_46400025;46400016_46400025.02;46400016,00;46400025,00;0,00;114,00;B;0,00;S;II;B;STRA;Kirchhainer Damm;Tempelhof-Schöneberg;Lichtenrade;27200,00;1090,00
5443;T0077980_44510031;43500019_44510031.04;43500019,00;44510031,00;463,00;875,00;B;0,00;S;III;G;STRA;Wilhelm-Kabus-Straße;Tempelhof-Schöneberg;Schöneberg;12600,00;290,00
5444;32590004_32580047;32590004_32580047.01;32590004,00;32580047,00;0,00;180,00;B;0,00;S;III;G;STRA;Schönwalder Straße;Spandau;Spandau;11000,00;170,00
5445;49470014_49470015;49470014_49470015.01;49470014,00;49470015,00;0,00;73,00;B;0,00;S;II;G;STRA;Buschkrugallee;Neukölln;Britz;19400,00;470,00
5446;47430020_47430036;47430020_47430036.01;47430020,00;47430036,00;0,00;316,00;B;0,00;S;II;G;STRA;Marienfelder Chaussee;Neukölln;Buckow;22500,00;470,00
5447;40670039_40670001;40670039_40670001.01;40670039,00;40670001,00;0,00;90,00;B;0,00;S;V;B;STRA;Oranienburger Chaussee;-;-;19500,00;650,00
5448;T0004590_31560004;31560005_31560004.01;31560005,00;31560004,00;118,00;165,00;B;0,00;S;II;G;STRA;Brunsbütteler Damm;Spandau;Spandau;25500,00;1150,00
5449;45490019_T0026740;45490019_45490020.01;45490019,00;45490020,00;0,00;94,00;B;0,00;S;V;G;STRA;Ringbahnstraße;Tempelhof-Schöneberg;Tempelhof;5600,00;160,00
5450;T0045500_46540054;45540040_46540054.01;45540040,00;46540054,00;110,00;171,00;B;0,00;S;III;G;STRA;Französische Straße;Mitte;Mitte;11500,00;400,00
5451;43580005_43580012;43580005_43580012.01;43580005,00;43580012,00;0,00;155,00;B;0,00;S;II;G;STRA;Seestraße;Mitte;Wedding;39900,00;2180,00
5452;53660040_T0325651;53660040_52660048.01;53660040,00;52660048,00;0,00;622,00;R;0,00;A;0;A;AUBA;A 10 BAB Berliner Ring;Pankow;Buch;23600,00;3660,00
5453;42580011_T0130410;42580011_42580028.01;42580011,00;42580028,00;0,00;72,00;B;0,00;S;III;G;STRA;Transvaalstraße;Mitte;Wedding;12600,00;400,00
5454;44620021_T0024160;44620021_44620027.01;44620021,00;44620027,00;0,00;86,00;B;0,00;S;III;G;STRA;Schönholzer Weg;Pankow;Rosenthal;8200,00;310,00
5455;41630018_41630002;41630018_41630002.01;41630018,00;41630002,00;0,00;48,00;B;0,00;S;III;G;STRA;Gorkistraße;Reinickendorf;Wittenau;7700,00;120,00
5456;T0054500_42620018;42620015_42620018.01;42620015,00;42620018,00;73,00;156,00;B;0,00;S;II;B;STRA;Roedernallee;Reinickendorf;Wittenau;15700,00;290,00
5457;T0132180_56580011;56570018_56580011.01;56570018,00;56580011,00;131,00;245,00;B;0,00;S;II;B;STRA;Märkische Allee;Marzahn-Hellersdorf;Marzahn;34400,00;950,00
5458;44540050_44540049;44540050_44540049.02;44540050,00;44540049,00;0,00;256,00;R;-2,00;S;II;B;STRA;Tunnel Tiergarten Hauptfb zw Sony VSZ u Einf Kemper Platz;Mitte;Tiergarten;16900,00;580,00
5459;T0084100_43580032;43580026_43580032.01;43580026,00;43580032,00;108,00;246,00;B;0,00;S;II;G;STRA;Seestraße;Mitte;Wedding;37700,00;1720,00
5460;T0092320_48500032;48500005_48500032.01;48500005,00;48500032,00;57,00;131,00;B;0,00;S;II;G;STRA;Hermannstraße;Neukölln;Neukölln;19400,00;370,00
5461;T0043060_53470036;53470055_53470036.01;53470055,00;53470036,00;77,00;222,00;B;0,00;S;III;G;STRA;Südostallee;Treptow-Köpenick;Johannisthal;11100,00;550,00
5462;49570002_49580041;49570002_49580041.01;49570002,00;49580041,00;0,00;96,00;B;0,00;S;I;B;STRA;Greifswalder Straße;Pankow;Prenzlauer Berg;32300,00;980,00
5463;T0006621_40460014;40450004_40460014.01;40450004,00;40460014,00;116,00;320,00;R;0,00;S;II;G;STRA;Hindenburgdamm;Steglitz-Zehlendorf;Lichterfelde;15300,00;390,00
5464;43550011_T0016720;43550011_43550005.01;43550011,00;43550005,00;0,00;177,00;B;0,00;S;II;G;STRA;Paulstraße;Mitte;Moabit;15700,00;390,00
5465;51520047_T0040500;51520047_51520049.01;51520047,00;51520049,00;0,00;24,00;B;0,00;S;II;G;STRA;Karlshorster Straße;Lichtenberg;Rummelsburg;12800,00;210,00
5466;50490021_51480001;50490021_51480001.01;50490021,00;51480001,00;0,00;378,00;B;0,00;S;II;G;STRA;Sonnenallee;Neukölln;Neukölln;14000,00;320,00
5467;41640030_41640031;41640030_41640031.01;41640030,00;41640031,00;0,00;236,00;B;0,00;S;II;B;STRA;Oranienburger Straße;Reinickendorf;Wittenau;22500,00;510,00
5468;T0146690_59470009;58470030_59470009.01;58470030,00;59470009,00;210,00;400,00;B;0,00;S;III;G;STRA;Seelenbinderstraße;Treptow-Köpenick;Köpenick;7100,00;180,00
5469;44550021_T0005220;44550021_44550040.01;44550021,00;44550040,00;0,00;49,00;B;0,00;S;II;G;STRA;Invalidenstraße;Mitte;Moabit;29000,00;600,00
5470;T0048330_45600035;45600039_45600035.01;45600039,00;45600035,00;61,00;151,00;B;0,00;S;III;G;STRA;Provinzstraße;Reinickendorf;Reinickendorf;15900,00;470,00
5471;56490015_T0034880;56490015_57490052.01;56490015,00;57490052,00;0,00;214,00;B;0,00;S;II;G;STRA;Köpenicker Straße;Treptow-Köpenick;Köpenick;22300,00;710,00
5472;T0008840_48500040;48510016_48500040.01;48510016,00;48500040,00;222,00;472,00;B;0,00;S;II;G;STRA;Hermannstraße;Neukölln;Neukölln;23800,00;580,00
5473;49490026_49490023;49490026_49490023.01;49490026,00;49490023,00;0,00;117,00;B;0,00;S;II;G;STRA;Karl-Marx-Straße;Neukölln;Neukölln;15600,00;230,00
5474;55450038_55450039;55450038_55450039.01;55450038,00;55450039,00;0,00;84,00;B;0,00;S;II;B;STRA;Adlergestell;Treptow-Köpenick;Adlershof;33800,00;1860,00
5475;50490006_T0044920;50490006_50490022.01;50490006,00;50490022,00;0,00;49,00;B;0,00;S;II;G;STRA;Sonnenallee;Neukölln;Neukölln;24300,00;690,00
5476;50470029_T0089370;50470029_50470031.01;50470029,00;50470031,00;0,00;119,00;B;0,00;S;II;G;STRA;Neue Späthstraße;Treptow-Köpenick;Baumschulenweg;15900,00;630,00
5477;T0082900_32540012;31540022_32540012.01;31540022,00;32540012,00;117,00;198,00;B;0,00;S;I;B;STRA;Heerstraße;Spandau;Wilhelmstadt;46600,00;2220,00
5478;33450013_33450010;33450013_33450010.02;33450013,00;33450010,00;0,00;19,00;B;0,00;S;III;G;STRA;Spanische Allee;Steglitz-Zehlendorf;Nikolassee;7900,00;130,00
5479;38480027_38480034;38480027_38480034.01;38480027,00;38480034,00;0,00;75,00;B;0,00;S;II;G;STRA;Königin-Luise-Straße;Steglitz-Zehlendorf;Dahlem;7200,00;140,00
5481;T0016860_49540015;49540013_49540015.01;49540013,00;49540015,00;101,00;143,00;B;0,00;S;III;G;STRA;Straße der Pariser Kommune;Friedrichshain-Kreuzberg;Friedrichshain;14300,00;400,00
5482;35440020_36440009;35440020_36440009.01;35440020,00;36440009,00;0,00;97,00;B;0,00;S;III;G;STRA;Machnower Straße;Steglitz-Zehlendorf;Zehlendorf;11200,00;310,00
5483;59550032_59550025;59550032_59550025.02;59550032,00;59550025,00;0,00;138,00;B;0,00;S;V;G;STRA;Cecilienstraße;Marzahn-Hellersdorf;Hellersdorf;6600,00;60,00
5484;53570004_53580009;53570004_53580009.03;53570004,00;53580009,00;0,00;247,00;B;0,00;S;III;G;STRA;Konrad-Wolf-Straße;Lichtenberg;Alt-Hohenschönhausen;9300,00;310,00
5485;37510034_37510035;37510034_37510035.01;37510034,00;37510035,00;0,00;23,00;B;0,00;S;III;G;STRA;Koenigsallee;Charlottenburg-Wilmersdorf;Grunewald;9500,00;130,00
5486;62550021_62550020;62550021_62550020.02;62550021,00;62550020,00;0,00;179,00;B;0,00;S;III;G;STRA;Dahlwitzer Straße;Marzahn-Hellersdorf;Mahlsdorf;11100,00;770,00
5487;35440031_35440025;35440031_35440025.01;35440031,00;35440025,00;0,00;117,00;B;0,00;S;IV;G;STRA;Ludwigsfelder Straße;Steglitz-Zehlendorf;Zehlendorf;7900,00;180,00
5488;T0110321_40460012;40460014_40460012.01;40460014,00;40460012,00;176,00;294,00;R;0,00;S;II;G;STRA;Hindenburgdamm;Steglitz-Zehlendorf;Lichterfelde;15700,00;410,00
5489;49470018_T0077290;49470018_49470020.01;49470018,00;49470020,00;0,00;80,00;B;0,00;S;II;G;STRA;Buschkrugallee;Neukölln;Britz;23500,00;380,00
5490;29440013_T0005960;29440013_29440024.01;29440013,00;29440024,00;0,00;113,00;B;0,00;S;II;B;STRA;Königstraße;Steglitz-Zehlendorf;Wannsee;23000,00;470,00
5491;48500002_48500047;48500002_48500047.01;48500002,00;48500047,00;0,00;47,00;B;0,00;S;II;G;STRA;Hermannstraße;Neukölln;Neukölln;28000,00;810,00
5492;35450008_35450026;35450008_35450026.01;35450008,00;35450026,00;0,00;105,00;B;0,00;S;I;B;STRA;Potsdamer Straße;Steglitz-Zehlendorf;Zehlendorf;28500,00;870,00
5493;T0086950_43550006;43550005_43550006.01;43550005,00;43550006,00;93,00;178,00;B;0,00;S;II;G;STRA;Alt-Moabit;Mitte;Moabit;24200,00;430,00
5494;46630025_46630027;46630025_46630027.02;46630025,00;46630027,00;0,00;90,00;B;0,00;S;III;G;STRA;Kastanienallee;Pankow;Rosenthal;5200,00;150,00
5495;43460003_43460004;43460003_43460004.01;43460003,00;43460004,00;0,00;54,00;B;0,00;S;II;G;STRA;Attilastraße;Steglitz-Zehlendorf;Steglitz;17100,00;430,00
5496;56450026_56450027;56450026_56450027.01;56450026,00;56450027,00;0,00;12,00;B;0,00;S;IV;G;STRA;Dörpfeldstraße;Treptow-Köpenick;Adlershof;13000,00;240,00
5497;61570001_61560015;61570001_61560015.01;61570001,00;61560015,00;0,00;175,00;B;0,00;S;III;G;STRA;Louis-Lewin-Straße;Marzahn-Hellersdorf;Hellersdorf;6200,00;110,00
5498;47460029_48460013;47460029_48460013.01;47460029,00;48460013,00;0,00;345,00;B;0,00;S;II;G;STRA;Mohriner Allee;Neukölln;Britz;15600,00;350,00
5499;31570024_31570017;31570024_31570017.02;31570024,00;31570017,00;0,00;197,00;B;0,00;S;III;G;STRA;Seegefelder Straße;Spandau;Falkenhagener Feld;10200,00;190,00
5500;33450030_33450038;33450030_33450038.02;33450030,00;33450038,00;0,00;185,00;B;0,00;S;III;G;STRA;Spanische Allee;Steglitz-Zehlendorf;Nikolassee;8500,00;140,00
5501;T0037070_54480039;54480036_54480039.02;54480036,00;54480039,00;67,00;115,00;B;0,00;S;III;G;STRA;Wilhelminenhofstraße;Treptow-Köpenick;Oberschöneweide;7900,00;320,00
5502;60520018_60520016;60520018_60520016.01;60520018,00;60520016,00;0,00;148,00;B;0,00;S;II;G;STRA;Hultschiner Damm;Marzahn-Hellersdorf;Mahlsdorf;14400,00;180,00
5503;59490014_T0054020;59490014_59500024.01;59490014,00;59500024,00;0,00;78,00;B;0,00;S;II;G;STRA;Hultschiner Damm;Marzahn-Hellersdorf;Mahlsdorf;13500,00;420,00
5504;T0005920_46520024;46520039_46520024.01;46520039,00;46520024,00;22,00;55,00;B;0,00;S;II;G;STRA;Zossener Straße;Friedrichshain-Kreuzberg;Kreuzberg;29100,00;690,00
5505;68440010_68440012;68440010_68440012.01;68440010,00;68440012,00;0,00;378,00;B;0,00;S;II;G;STRA;Fürstenwalder Allee;Treptow-Köpenick;Rahnsdorf;11400,00;400,00
5506;42520083_T0035360;42520083_42530047.01;42520083,00;42530047,00;0,00;192,00;B;0,00;S;V;G;STRA;Passauer Straße;Tempelhof-Schöneberg;Schöneberg;1200,00;150,00
5507;33560042_33560025;33560042_33560025.01;33560042,00;33560025,00;0,00;22,00;B;0,00;S;III;G;STRA;Schulenburgstraße;Spandau;Spandau;12500,00;500,00
5508;41480060_41480036;41480060_41480036.01;41480060,00;41480036,00;0,00;89,00;B;0,00;S;III;G;STRA;Schloßstraße;Steglitz-Zehlendorf;Steglitz;16200,00;330,00
5509;46620026_T0096260;46620026_46610007.02;46620026,00;46610007,00;0,00;78,00;B;0,00;S;II;B;STRA;Dietzgenstraße;Pankow;Niederschönhausen;15000,00;700,00
5510;28580002_28580003;28580002_28580003.02;28580002,00;28580003,00;0,00;145,00;B;0,00;S;III;G;STRA;Seegefelder Weg;Spandau;Staaken;10100,00;210,00
5511;52640010_T0026800;52640010_52640009.01;52640010,00;52640009,00;0,00;61,00;B;0,00;S;III;G;STRA;Bahnhofstraße;Pankow;Karow;6900,00;180,00
5512;T0043620_45520014;45520013_45520014.02;45520013,00;45520014,00;136,00;225,00;B;0,00;S;II;G;STRA;Gneisenaustraße;Friedrichshain-Kreuzberg;Kreuzberg;33200,00;660,00
5513;46570001_46560012;46570001_46560012.02;46570001,00;46560012,00;0,00;57,00;B;0,00;S;II;G;STRA;Brunnenstraße;Mitte;Mitte;12300,00;350,00
5514;58580025_T0002610;58580025_59580001.01;58580025,00;59580001,00;0,00;104,00;B;0,00;S;II;G;STRA;Landsberger Allee;Marzahn-Hellersdorf;Marzahn;39700,00;1150,00
5515;40630036_40630038;40630036_40630038.01;40630036,00;40630038,00;0,00;75,00;B;0,00;S;III;G;STRA;Gorkistraße;Reinickendorf;Wittenau;7700,00;120,00
5516;47470013_T0087230;47470013_48470014.01;47470013,00;48470014,00;0,00;431,00;B;0,00;S;II;G;STRA;Gradestraße;Neukölln;Britz;31800,00;1230,00
5517;57550032_58550010;57550032_58550010.01;57550032,00;58550010,00;0,00;127,00;B;0,00;S;III;G;STRA;Cecilienstraße;Marzahn-Hellersdorf;Biesdorf;14900,00;300,00
